# Verified first-party/current-opening source candidates. Format: Company|URL
7-Eleven Global Solution Center|https://7-elevengsc.com/jobs/
AB InBev|https://ab-inbev-gcc.sensehq.com/careers
ACI Worldwide|https://ebwg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/
Addverb|https://careers.addverb.com/
ADM|https://sjobs.brassring.com/TGnewUI/Search/home/Home?partnerid=25416&siteid=5998
Agnikul Cosmos|https://agnikul.in/careers/
AiDash|https://job-boards.greenhouse.io/aidashinc
AIG|https://www.aig.com/home/careers/search-jobs
Alkem Laboratories|https://www.alkemlabs.com/career
Alphawave Semi|https://alphawave.wd10.myworkdayjobs.com/Alphawave_External
Altizon|https://altizon.com/careers
Amagi|https://www.amagi.com/careers/open-roles
Ambarella|https://ambarella.wd108.myworkdayjobs.com/Ambarella
Ameriprise Financial|https://careers.ameriprise.com/search-jobs
Annalect|https://indiacareers.omnicomglobalsolutions.com/jobs
Apptio|https://www.ibm.com/careers/search
Aristocrat|https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite
Astera Labs|https://job-boards.greenhouse.io/asteralabs
Ati Motors / Ati Robotics|https://www.atirobotics.ai/company/careers/
Atomicwork|https://job-boards.greenhouse.io/atomicwork
Aurobindo Pharma|https://www.aurobindo.com/careers
Avalara|https://careers.avalara.com/careers-home/?lang=en-IN
Avaloq|https://careers.smartrecruiters.com/Avaloq1
Baxter|https://jobs.baxter.com/en/location/india-jobs/152/1269750/2
Beckman Coulter|https://jobs.danaher.com/global/en/beckman-coulter-diagnostics-search-results
Bio-Rad|https://careers.bio-rad.com/india
Blackhawk Network|https://careers-blackhawknetwork.icims.com/jobs/intro
Bottomline Technologies|https://www.bottomline.com/about/careers/jobs
Bread Financial|https://careers.breadfinancial.com/
Bureau|https://jobs.bureau.id/
Cargill|https://careers.cargill.com/en/search-jobs
Cipla|https://careers.cipla.com/
Cirrus Logic|https://www.cirrus.com/careers/jobs
Clarivate|https://clarivate.wd3.myworkdayjobs.com/Clarivate_Careers
ClearTax|https://clear.darwinbox.in/ms/candidate/careers
CloudSEK|https://www.cloudsek.com/openings
CoinSwitch|https://recruiterflow.com/coinswitch/jobs
ColorTokens|https://colortokens.com/careers/
CommerceIQ|https://job-boards.greenhouse.io/commerceiq
CoRover|https://corover.ai/company/careers
Credo Semiconductor|https://credosemi.com/about-credo/careers/
CynLr|https://cynlr.com/careers
Cytiva|https://jobs.danaher.com/global/en/cytiva-search-results
Darwinbox|https://dbx.darwinbox.in/ms/candidatev2/main/careers/allJobs
Dassault Systèmes|https://www.3ds.com/careers/jobs
Decentro|https://decentro.tech/careers
Delhivery|https://www.delhivery.com/careers
Detect Technologies|https://detecttechnologies.com/current-openings/
Dhruva Space|https://www.dhruvaspace.com/careers
Diageo|https://diageo.wd3.myworkdayjobs.com/Diageo_Careers
Digantara|https://careers.kula.ai/digantara
Digit Insurance|https://www.godigit.com/careers
Dozee|https://www.dozeehealth.ai/careers
Dr. Reddy’s Laboratories|https://careers.drreddys.com/jobs
Duck Creek Technologies|https://duckcreek.wd1.myworkdayjobs.com/duckcreekcareers
EaseMyTrip|https://www.easemytrip.com/career.html
Edwards Lifesciences|https://www.edwards.com/careers/jobsearch?country=India
Eightfold AI|https://app.eightfold.ai/careers/search
Eka Software Solutions|https://quoreka.com/careers
ElasticRun|https://www.elastic.run/careers
Elsevier|https://relx.wd3.myworkdayjobs.com/ElsevierJobs
Emirates Group IT|https://www.emiratesgroupcareers.com/search-and-apply/?jobcategory=Information+Technology
Empower|https://empower.wd12.myworkdayjobs.com/empower
Entropik|https://careers.smartrecruiters.com/Entropik
Epsilon|https://careers.publicisgroupe.com/epsilon/jobs
Evalueserve|https://www.evalueserve.com/in-en/jobs/
Exotel|https://exotel.hire.trakstar.com/
Facilio|https://facilio.com/careers/
Falabella India|https://muevete.falabella.com/en
FanCode|https://careers.fancode.com/
FarEye|https://fareye.darwinbox.in/ms/candidate/careers
FermionIC Design|https://fermionicdesign.com/career
FICO|https://fico.wd1.myworkdayjobs.com/External
Finastra|https://finastra.wd3.myworkdayjobs.com/FINC
FirstHive|https://resource.firsthive.com/careers/
Flutura|https://www.accenture.com/in-en/careers/jobsearch
Flywire|https://careers.smartrecruiters.com/flywire1
Ford|https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Fynd|https://www.fynd.com/careers
GalaxEye Space|https://careers.galaxeye.space/jobs/Careers
Gallagher|https://jobs.ajg.com/ajg-india/jobs
General Mills|https://www.careers.generalmills.com/
General Motors|https://generalmotors.wd5.myworkdayjobs.com/Careers_GM
Glenmark Pharmaceuticals|https://career.glenmarkpharma.com/
GlobalFoundries|https://globalfoundries.wd1.myworkdayjobs.com/External
Gnani.ai|https://careers.gnani.ai/
GoKwik|https://gokwik.keka.com/careers/
GreyOrange|https://careers.greyorange.com/greyorange/
Guidewire|https://guidewire.wd5.myworkdayjobs.com/external
H&M Group|https://career.hm.com/in-en/
Haber|https://haberwater.com/join-us
Haptik|https://www.haptik.ai/careers
HDFC ERGO|https://hdfcergocareers.peoplestrong.com/
HealthPlix|https://recruit.healthplix.com/jobs/Careers
Hero MotoCorp|https://jobs.heromotocorp.com/
Hitachi Astemo|https://www.careers.astemo.com/en/jobs/
HomeLane|https://sentinel.homelane.com/
Housing.com|https://careers.housing.com/join-us/
HyperVerge|https://hyperverge.co/careers/
Hyundai Mobis|https://careers.mobis.com/jobs
Hyundai Motor India|https://careers.hyundai.co.in
IBM|https://www.ibm.com/careers/search?location=India+-+Bengaluru
ICON plc|https://careers.iconplc.com/jobs-in-india
ideaForge|https://app.webbtree.com/company/ideaforge/jobs
IDfy|https://www.idfy.com/careers/
Impetus Technologies|https://impetus.cluster3.openings.co/
Incedo|https://www.incedoinc.com/careers/
InCore Semiconductors|https://incoresemi.zohorecruit.com/jobs/Careers
Innominds|https://apply.workable.com/innominds-software-private-limited/?lng=en
Innova Solutions|https://jobsusa.innovasolutions.com/
Insider|https://jobs.lever.co/insiderone
Intas Pharmaceuticals|https://www.intaspharma.com/careers/
Intuitive Surgical|https://careers.intuitive.com/en/jobs/
InVideo|https://careers.invideo.io/
JCB India|https://careers.jcb.com/search
Junglee Games|https://www.jungleegames.com/grow.php
KaleidEO|https://kaleideo.co/careers-at-kaleideo/
Kantar|https://careers.kantar.com/job-search
Kellanova|https://jobs.kellanova.com/
Kenvue|https://jobs.kenvue.com/
Kimberly-Clark|https://careers.kimberly-clark.com/en/job-search
Komatsu India|https://www.komatsuindia.in/company/careers
KPIT Technologies|https://talentojo.kpit.com/tojo/app/career-portal/
KreditBee|https://www.kreditbee.in/careers
Kwalee|https://www.kwalee.com/careers
Kyndryl|https://kyndryl.wd5.myworkdayjobs.com/KyndrylProfessionalCareers
Labcorp|https://careers.labcorp.com/global/en/search-results
Landmark Group|https://efhi.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions
Lazada|https://www.lazada.com/en/careers/job-search/
LeadSquared|https://leadsquaredhrms.darwinbox.in/ms/candidate/careers
Leena AI|https://leena.ai/careers
Lemnisk|https://www.lemnisk.co/careers/
LexisNexis Risk Solutions|https://relx.wd3.myworkdayjobs.com/RiskSolutions
LG Soft India|https://lgsihrms.darwinbox.in/ms/candidatev2/a6914476a29263/careers/home
Liftoff Mobile|https://liftoff.ai/company/careers/jobs/
Light & Wonder|https://lnw.wd5.myworkdayjobs.com/LightWonderExternalCareers
Lloyds Technology Centre India|https://lbg.wd3.myworkdayjobs.com/Lloyds_Technology_Centre
Lufthansa Group Digital|https://apply.lufthansagroup.careers/
lululemon|https://careers.lululemon.com/
Lupin|https://careers.lupin.com/
Lytx|https://lytx.wd1.myworkdayjobs.com/Lytx
M2P Fintech|https://careers.m2pfintech.com/view-jobs/
Mankind Pharma|https://www.mankindpharma.com/career/
Mars|https://careers.mars.com/global/en
Maruti Suzuki|https://maruti.app.param.ai/jobs/
MassMutual India|https://careers.massmutualindia.com/
MaxLinear|https://careersintl-maxlinear.icims.com/jobs/intro
MedGenome|https://diagnostics.medgenome.com/career/
Mercedes-Benz Research and Development India|https://jobs.mercedes-benz.com/en/
Merkle|https://www.merkle.com/en/careers/jobs.html
Meta|https://www.metacareers.com/jobs/
MetLife GOSC|https://www.metlifecareers.com/en_US/ml/in
Miko|https://in.miko.ai/pages/careers
Mimecast|https://careers.mimecast.com/en/jobs/
Mindgrove Technologies|https://www.mindgrovetech.in/careers
MiQ Digital|https://www.wearemiq.com/careers
Molecular Connections|https://career.molecularconnections.com/
Moloco India|https://job-boards.greenhouse.io/moloco
Mondelez International|https://www.mondelezinternational.com/Careers/
Moneyview|https://moneyview.darwinbox.in/ms/candidate/careers
Moonfrog Labs|https://moonfroglabs.com/careers/
Morphing Machines|https://portal.morphing.in/jobs
Mudrex|https://mudrex.freshteam.com/jobs
National Australia Bank — NAB|https://careers.nab.com.au/
Nestlé|https://www.nestle.in/jobs
Netcore Cloud|https://netcorecloud.com/careers-list/
Netradyne|https://careers.smartrecruiters.com/Netradyne
New York Life India|https://jobs.newyorklife.com/
NielsenIQ|https://careers.smartrecruiters.com/nielseniq
Niramai|https://niramai.com/career/
Nissan Digital India|https://alliance.wd3.myworkdayjobs.com/en-US/nissanjobs?Location_Country=c4f78be1a8f14da0ab49ce1162348a5e&Location_Region_State_Province=65209da0144c4c0a888940bb289f14bc
Oben Electric|https://careers.obenelectric.com/jobs/Careers
OCBC Bank|https://www.ocbc.com/group/careers/opportunities-available.html
Parexel|https://jobs.parexel.com/en/search-jobs/india/877/1/search-jobs
PepsiCo|https://www.pepsicojobs.com/
PharmEasy|https://pharmeasy.in/careers/jobs/
Pine Labs|https://www.pinelabs.com/careers/open-jobs?page=1
Pixis|https://pixis.ai/careers
Pixxel|https://www.pixxel.space/careers
PlaySimple Games|https://careers.playsimple.in/jobs/Careers
Porter|https://porter.darwinbox.in/ms/candidate/careers
Practo|https://careers.practo.com/practo/
Procter & Gamble|https://www.pgcareers.com/in/en/search-results
ProductDossier|https://www.kytes.com/career/
PVH Corp.|https://careers.pvh.com/jobs/search
Quantzig|https://www.quantzig.com/careers/
Qure.ai|https://career.qure.ai/jobs/Careers
Rakuten India|https://rakuten.openings.co/rakuten/
Rapido|https://www.rapido.bike/Careers
